Kinda	ORG
The Dallas Times Herald	ORG
Queen Louisa	PERSON
A.M	GPE
Cousin Hop	PERSON
Mommy	PERSON
Madam	PRODUCT
Uhura	NORP
71.50	MONEY
Strachi Cuneo	PERSON
Marquise Charenton	PERSON
Frank Patrick Sullivan	PERSON
Bless America	ORG
my hundred-forty-five dollars	CARDINAL
Xerox	ORG
Raimondo	PERSON
Falkland	ORG
Klara	PERSON
eleven and a half	CARDINAL
butI	PERSON
Greaseball Goombahs	PRODUCT
Funny	WORK_OF_ART
Alvy Singer	PERSON
Landon Carter	PERSON
thirteen-thousand	CARDINAL
Lillian	GPE
Gentile	PERSON
Laura Scudder's	PERSON
Valerie Doran	PERSON
Easterners	NORP
a few minutes '	TIME
Catherine Laboure	PERSON
7000	MONEY
Autodoc	ORG
some hours	TIME
""" The call I just made?"	WORK_OF_ART
Ned Alleyn	PERSON
Genco	PERSON
Harry Phil Grammoo	PERSON
Bien Nacido	ORG
Rollo	PRODUCT
Tobin	PERSON
Clint	PERSON
Lucinda	PERSON
The five hundred	DATE
Denial of Death	WORK_OF_ART
Paul Sheldon	PERSON
Pomona	GPE
Miller-	PRODUCT
Father'll	ORG
Sitka	PERSON
Bye Barry	PERSON
the Quiet Room	FAC
Sidra	PERSON
NRA	ORG
Lila	LOC
Love to-- Step	PERSON
Caucasian	PERSON
M.I.	GPE
Republicanism	PERSON
Bonafante	PERSON
Jeckle	PERSON
Scarin	GPE
Fatburger	PERSON
Erin	PERSON
6.7	CARDINAL
Emperor Miguelito	WORK_OF_ART
Powwow	PERSON
Uncle John	PERSON
Madame Cavalieri	PERSON
Jim Swarthout	PERSON
Marlboros Camels	PERSON
Lindsey Lester's	PERSON
the Air Command	ORG
Calico	WORK_OF_ART
Spoil	ORG
Ninety-three miles an hour	QUANTITY
Ogg	PERSON
Imzadi	PERSON
The National Safety Council	ORG
Hello Frank	ORG
a Co-Cola	ORG
yestidday	DATE
Jim Kirk	PERSON
Homes	PERSON
sixty-forty	CARDINAL
Dennis James Rooney	PERSON
would've--	GPE
Gillette	ORG
EX	PERSON
six every day	DATE
Ressler	PERSON
Charles Gish	PERSON
M-60	PRODUCT
Pepper	PERSON
Princess Alexandra	PRODUCT
Childish	NORP
237	CARDINAL
Hey Lou	PERSON
Copper Penny	PERCENT
Nuc1ear Terrorism	ORG
Chimera</i	PERSON
Greece	GPE
Grusinskaya	PERSON
Wickwire	ORG
Monarchy	ORG
Two cents	MONEY
White Bluesman	ORG
The Holly Grail	PERSON
Kurth Jonathan Edmunds--	PERSON
Petersburg	GPE
Torbert	PERSON
Jim Rorty	PERSON
three-week	DATE
Phill	PRODUCT
Ju'aymah	DATE
Morning edition	WORK_OF_ART
seventy-four thousand	QUANTITY
Jiggs	ORG
Johnny Ola	PERSON
de-fib	PERSON
Miss December	DATE
Geez Louise	PERSON
St. Thomas	GPE
Tucker	PERSON
Mr Reynolds	PERSON
Long Live the King	WORK_OF_ART
Guv	PERSON
Seymour	WORK_OF_ART
109	CARDINAL
Frederico	PERSON
Pres	PERSON
Falls Church	ORG
750 thousand	CARDINAL
something--	CARDINAL
Twenty Questions'	PERSON
Angels	ORG
the Miami Convention Center	ORG
Redi	PERSON
nine carat	QUANTITY
Mirajanpore	PERSON
Schumann	ORG
Hadley	ORG
xxxxxx xxxxxx	PERSON
Dalton	PERSON
the last 30 years	DATE
MaGee	PRODUCT
Roselli	PERSON
Other Place	WORK_OF_ART
A few hours later	TIME
Nikki	ORG
Vin	PERSON
another 25 or 30 years	DATE
Philippe	PERSON
Mister Bailey	PERSON
Cuisinart	PRODUCT
French Club Drama Club Debate Club Girls Basketball	ORG
Hey Roman	PERSON
Rub	PERSON
Marcel Krieger	PERSON
PLO	ORG
Everyday	DATE
eighty-two	DATE
every 32 seconds	TIME
a dozen years	DATE
Paramus	PERSON
Westside	ORG
the Parthenon the Colosseum	ORG
Eddie Catero	PERSON
Rockies	LOC
Keymaster	PERSON
Bela Lugosi's Final Film	WORK_OF_ART
twenty hundred	CARDINAL
Mother Sister	PERSON
Save the City	WORK_OF_ART
twenty	CARDINAL
Mortis Habeas Corpus	PERSON
Fonzie	PERSON
Kimmy	GPE
Grandad	LOC
Maurice Parker	PERSON
Sandra Sinclair	PERSON
Star 69	LAW
Bozemanwhy	PERSON
the next Jean Genet	DATE
Lancelot	PERSON
amd	PERSON
Pep Squad	ORG
Hurry Sid	PERSON
Johnson & Johnson	ORG
forty-seven minutes	TIME
East Side	LOC
Bob Bob	PERSON
Nathanael Greene	PERSON
Peg	PERSON
thousands of years later	DATE
Fifth	ORDINAL
Listen Rob	PERSON
Laura Ashley	PERSON
Poker Face Radio Cookie Goldmouth Biscuit	ORG
Tyrone Power	ORG
Sixteen years	DATE
Honeycutt	CARDINAL
Plum Blossom	PERSON
Workmen	PERSON
our day	DATE
"""Guess we're goin' over to the """	WORK_OF_ART
the Executive Building	FAC
Duct	ORG
like two hours	TIME
The Fun Palace	ORG
Mary Ann George	PERSON
Jesus Fergus	PERSON
Madonna	PERSON
hearin	PERSON
Yeeeeeeeaaaawwwwww	PERSON
Charlie Sheen	PERSON
Lee Kinsolving	PERSON
Tilney	PERSON
Johnnie White	PERSON
Thirty minutes	TIME
Tuaran	ORG
Mallory Knox	PERSON
J.D Human	PERSON
Few days ago	DATE
the Department of Motor Vehicle's	ORG
Harold Chasen	PERSON
Kurtzweil	PERSON
the seventh day of April in 1847	DATE
Lipstick	PERSON
Guardian	ORG
The National Psoriasis Foundation	ORG
Beni	PERSON
Linnea	PERSON
Cape Town	GPE
Terrence	PERSON
The World Series	EVENT
""" in spelling... six in behavior."	WORK_OF_ART
Hobbes	GPE
the Wall of Fame	ORG
Maui	LOC
Big Ed's	PERSON
madman	PERSON
three hundred years old	DATE
Van Gogh	PERSON
You HAVEN'T	PERSON
Guatemala	PERSON
18-years	TIME
Annabelle Horsefield	PERSON
Mew York	PERSON
strawberry finches	PERSON
Hank	PERSON
Fuck Bastaldi	PERSON
the Persian gulf	LOC
thirty-two	CARDINAL
Mark Twain	PERSON
Church Hill	GPE
haka xuki	PERSON
Shirley Temple	PERSON
McGann	ORG
Kamal	PERSON
sixty-five miles an hour	QUANTITY
Sally Therrian	PERSON
Fort Louis	GPE
Bruno	ORG
A couple of months	DATE
Charlie I'm from the old country and these American ways get me sometimes confused	WORK_OF_ART
"Shut up Beth -- """	WORK_OF_ART
about six miles	QUANTITY
Babar	PERSON
15.5 seconds	TIME
Carson Dyle	PERSON
the King of Austria	PERSON
Janiros	PERSON
Thirty-six years	DATE
Spartacus	ORG
underÄÂĂÂ	GPE
bow	PERSON
a couple of hundred	CARDINAL
Godammit Frank	PERSON
twenty-five percent	PERCENT
Zammito	GPE
The Blair Witch Project	ORG
Lookie Tom	PERSON
"""The Creator has not answered."	WORK_OF_ART
Paul Carey	PERSON
Mirror Man	LAW
Joanna Bourne	PERSON
Cravat	ORG
Moms	PERSON
Korrd	PERSON
'53	DATE
Look Rob	PERSON
Albuquerque	PERSON
Bro	PERSON
seventy years	DATE
Sister Betty	PERSON
T-J.	PERSON
39.95	MONEY
D+2xy something something	WORK_OF_ART
Ian	PERSON
Vicki Vale	WORK_OF_ART
almost a hundred years	DATE
French Fries	PERSON
a couple of years later	DATE
erÄÂĂÂ	PERSON
a ton	QUANTITY
Dick Merkin	PERSON
the Korean War	EVENT
the United States of America	GPE
nineteen seventy-five	DATE
Nude	PERSON
W.W. Two	WORK_OF_ART
Horatio Gates	PERSON
Slamlight	PERSON
JANITOR	ORG
Vernon T. Waldrip	PERSON
the last two years	DATE
Brewster	GPE
A night	TIME
